"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2009","2,689.95","2,650.40","2,696.10","2,640.45","788.80M","1.66%"
"Apr 23, 2009","2,646.00","2,596.05","2,655.10","2,564.10","794.68M","2.36%"
"Apr 22, 2009","2,584.90","2,630.40","2,646.95","2,563.50","809.50M","-1.06%"
"Apr 21, 2009","2,612.65","2,580.45","2,644.85","2,580.45","858.86M","-0.35%"
"Apr 20, 2009","2,621.70","2,628.35","2,663.50","2,591.65","806.86M","0.35%"
"Apr 17, 2009","2,612.60","2,623.25","2,690.00","2,593.70","1.00B","0.72%"
"Apr 16, 2009","2,593.90","2,707.10","2,727.75","2,582.75","1.22B","-3.62%"
"Apr 15, 2009","2,691.30","2,556.40","2,698.55","2,556.40","1.13B","3.55%"
"Apr 13, 2009","2,598.95","2,564.25","2,622.30","2,550.95","858.17M","2.08%"
"Apr 09, 2009","2,545.95","2,558.25","2,578.70","2,520.05","990.25M","0.33%"
"Apr 08, 2009","2,537.55","2,404.35","2,544.65","2,398.15","1.00B","2.60%"
"Apr 06, 2009","2,473.30","2,486.75","2,496.40","2,445.15","838.41M","1.82%"
"Apr 02, 2009","2,429.05","2,390.20","2,441.45","2,387.10","856.95M","4.49%"
"Apr 01, 2009","2,324.75","2,282.10","2,328.75","2,265.90","657.05M","1.30%"
"Mar 31, 2009","2,294.85","2,270.55","2,315.05","2,261.50","722.08M","1.56%"
"Mar 30, 2009","2,259.50","2,299.50","2,307.55","2,248.80","620.20M","-3.59%"
"Mar 27, 2009","2,343.70","2,310.70","2,350.30","2,303.90","746.11M","1.27%"
"Mar 26, 2009","2,314.20","2,280.25","2,328.65","2,275.40","804.98M","2.60%"
"Mar 25, 2009","2,255.60","2,224.65","2,261.80","2,213.40","696.32M","1.41%"
"Mar 24, 2009","2,224.25","2,254.95","2,285.15","2,210.05","726.85M","-0.28%"
"Mar 23, 2009","2,230.55","2,169.85","2,235.45","2,169.40","522.39M","4.25%"
"Mar 20, 2009","2,139.70","2,134.60","2,146.55","2,118.85","464.51M","-0.26%"
"Mar 19, 2009","2,145.25","2,148.20","2,158.10","2,121.80","512.58M","0.48%"
"Mar 18, 2009","2,134.90","2,128.80","2,161.30","2,128.20","567.24M","1.47%"
"Mar 17, 2009","2,104.05","2,114.85","2,138.90","2,093.00","601.74M","-0.51%"
"Mar 16, 2009","2,114.80","2,073.70","2,117.25","2,058.95","523.14M","2.43%"
"Mar 13, 2009","2,064.60","2,021.55","2,068.15","2,021.55","480.08M","3.52%"
"Mar 12, 2009","1,994.40","1,992.85","2,010.30","1,983.45","384.72M","1.40%"
"Mar 09, 2009","1,966.85","1,993.65","1,993.65","1,956.85","336.11M","-1.78%"
"Mar 06, 2009","2,002.40","1,960.45","2,005.75","1,953.30","451.04M","1.07%"
"Mar 05, 2009","1,981.20","2,039.60","2,039.60","1,971.95","441.44M","-2.28%"
"Mar 04, 2009","2,027.40","2,026.55","2,035.80","2,010.60","385.50M","0.55%"
"Mar 03, 2009","2,016.30","2,049.80","2,060.30","2,010.15","399.47M","-1.78%"
"Mar 02, 2009","2,052.90","2,070.05","2,078.35","2,043.35","358.03M","-2.84%"
"Feb 27, 2009","2,112.85","2,115.35","2,120.20","2,077.95","435.52M","-0.45%"
"Feb 26, 2009","2,122.40","2,108.55","2,128.05","2,090.85","485.94M","0.44%"
"Feb 25, 2009","2,113.10","2,116.50","2,133.75","2,109.80","335.82M","0.82%"
"Feb 24, 2009","2,095.90","2,071.65","2,104.10","2,059.45","361.90M","-0.48%"
"Feb 20, 2009","2,106.10","2,120.05","2,122.05","2,088.40","328.28M","-1.85%"
"Feb 19, 2009","2,145.85","2,150.25","2,159.25","2,135.00","360.66M","0.33%"
"Feb 18, 2009","2,138.85","2,118.50","2,159.55","2,118.50","411.12M","0.07%"
"Feb 17, 2009","2,137.35","2,166.80","2,166.80","2,128.85","377.16M","-2.55%"
"Feb 16, 2009","2,193.30","2,257.65","2,259.20","2,186.95","476.92M","-3.14%"
"Feb 13, 2009","2,264.30","2,236.95","2,278.00","2,236.95","443.63M","1.73%"
"Feb 12, 2009","2,225.80","2,232.35","2,250.35","2,222.55","505.69M","-0.82%"
"Feb 11, 2009","2,244.25","2,211.35","2,250.25","2,211.35","492.16M","-0.21%"
"Feb 10, 2009","2,248.90","2,239.70","2,266.35","2,221.65","567.65M","0.52%"
"Feb 09, 2009","2,237.25","2,192.55","2,240.95","2,185.35","300.72M","2.59%"
"Feb 06, 2009","2,180.70","2,158.75","2,187.20","2,155.20","480.32M","2.07%"
"Feb 05, 2009","2,136.55","2,157.45","2,159.70","2,122.55","528.04M","-0.78%"
"Feb 04, 2009","2,153.25","2,160.55","2,179.90","2,146.95","536.25M","0.50%"
"Feb 03, 2009","2,142.60","2,154.00","2,173.75","2,127.35","488.20M","0.18%"
"Feb 02, 2009","2,138.80","2,185.45","2,192.40","2,134.55","463.37M","-3.18%"
"Jan 30, 2009","2,209.05","2,150.85","2,212.70","2,140.10","556.44M","1.71%"
"Jan 29, 2009","2,171.90","2,203.30","2,205.55","2,154.15","597.23M","-0.75%"
"Jan 28, 2009","2,188.35","2,147.00","2,191.60","2,142.05","489.50M","2.77%"
"Jan 27, 2009","2,129.45","2,097.35","2,134.10","2,096.75","391.26M","2.73%"
"Jan 23, 2009","2,072.85","2,097.50","2,109.25","2,061.15","414.09M","-1.55%"
"Jan 22, 2009","2,105.40","2,133.30","2,134.80","2,085.45","436.23M","-0.26%"
"Jan 21, 2009","2,110.85","2,138.40","2,165.10","2,101.65","420.12M","-2.88%"
"Jan 20, 2009","2,173.35","2,161.40","2,181.55","2,148.00","413.09M","-1.40%"
"Jan 19, 2009","2,204.30","2,190.20","2,218.45","2,186.80","516.64M","0.68%"
"Jan 16, 2009","2,189.45","2,158.90","2,193.05","2,149.00","430.29M","2.63%"
"Jan 15, 2009","2,133.30","2,141.25","2,150.40","2,112.90","449.50M","-3.06%"
"Jan 14, 2009","2,200.65","2,168.40","2,211.50","2,163.30","447.22M","3.00%"
"Jan 13, 2009","2,136.60","2,146.65","2,180.05","2,121.05","524.31M","-1.09%"
"Jan 12, 2009","2,160.25","2,205.45","2,209.25","2,146.10","596.42M","-2.93%"
"Jan 09, 2009","2,225.45","2,222.00","2,270.65","2,176.95","931.86M","-2.02%"
"Jan 07, 2009","2,271.40","2,445.75","2,454.95","2,254.35","1.09B","-6.57%"
"Jan 06, 2009","2,431.25","2,428.35","2,456.30","2,391.90","725.21M","-0.09%"
"Jan 05, 2009","2,433.50","2,410.40","2,438.10","2,400.30","641.11M","2.23%"
"Jan 02, 2009","2,380.40","2,379.65","2,405.30","2,355.70","704.79M","0.81%"
"Jan 01, 2009","2,361.20","2,305.95","2,363.00","2,305.95","465.08M","2.85%"
"Dec 31, 2008","2,295.75","2,318.45","2,329.40","2,283.00","565.69M","-0.38%"
"Dec 30, 2008","2,304.40","2,280.45","2,314.30","2,249.80","549.21M","2.02%"
"Dec 29, 2008","2,258.85","2,212.10","2,265.50","2,180.95","530.33M","2.09%"
"Dec 26, 2008","2,212.50","2,275.50","2,288.65","2,204.50","443.43M","-1.89%"
"Dec 24, 2008","2,255.10","2,281.60","2,281.60","2,245.20","595.20M","-1.36%"
"Dec 23, 2008","2,286.10","2,326.85","2,327.35","2,278.70","560.92M","-2.44%"
"Dec 22, 2008","2,343.30","2,370.00","2,395.70","2,335.85","616.89M","-1.14%"
"Dec 19, 2008","2,370.35","2,343.30","2,388.05","2,338.80","733.00M","0.98%"
"Dec 18, 2008","2,347.35","2,269.35","2,352.80","2,247.00","725.76M","3.48%"
"Dec 17, 2008","2,268.40","2,362.20","2,362.20","2,260.85","718.48M","-2.93%"
"Dec 16, 2008","2,336.85","2,277.30","2,343.50","2,277.30","638.41M","2.39%"
"Dec 15, 2008","2,282.35","2,269.00","2,299.85","2,263.45","659.11M","2.34%"
"Dec 12, 2008","2,230.25","2,149.75","2,240.35","2,149.75","105.68M","0.36%"
"Dec 11, 2008","2,222.35","2,216.85","2,234.05","2,181.05","713.12M","0.35%"
"Dec 10, 2008","2,214.60","2,146.20","2,218.50","2,144.35","634.15M","4.38%"
"Dec 08, 2008","2,121.65","2,087.20","2,173.25","2,087.20","504.20M","1.85%"
"Dec 05, 2008","2,083.10","2,123.45","2,159.65","2,077.10","585.47M","-2.32%"
"Dec 04, 2008","2,132.65","2,045.45","2,137.90","2,040.85","578.02M","4.51%"
"Dec 03, 2008","2,040.60","2,051.25","2,053.40","2,014.00","455.97M","0.55%"
"Dec 02, 2008","2,029.40","1,990.20","2,036.95","1,971.35","404.72M","-0.93%"
"Dec 01, 2008","2,048.40","2,099.50","2,147.15","2,041.75","427.98M","-2.14%"
"Nov 28, 2008","2,093.10","2,061.95","2,102.75","2,058.60","492.28M","0.11%"
"Nov 26, 2008","2,090.75","2,051.65","2,096.10","2,025.20","451.11M","2.47%"
"Nov 25, 2008","2,040.40","2,123.55","2,125.85","2,030.35","436.42M","-1.67%"
"Nov 24, 2008","2,075.05","2,056.40","2,098.15","2,030.85","422.54M","0.38%"
"Nov 21, 2008","2,067.20","2,015.65","2,080.75","1,973.45","515.12M","3.96%"
"Nov 20, 2008","1,988.45","1,983.50","2,006.50","1,955.30","401.40M","-3.25%"
"Nov 19, 2008","2,055.20","2,110.10","2,147.85","2,044.60","437.00M","-1.86%"
"Nov 18, 2008","2,094.25","2,123.70","2,151.10","2,087.20","419.81M","-3.77%"
"Nov 17, 2008","2,176.30","2,217.30","2,217.30","2,113.20","453.43M","-1.24%"
"Nov 14, 2008","2,203.55","2,296.55","2,299.60","2,188.40","472.22M","-1.60%"
"Nov 12, 2008","2,239.30","2,269.35","2,320.45","2,205.35","483.99M","-2.74%"
"Nov 11, 2008","2,302.40","2,410.15","2,415.85","2,291.00","430.66M","-5.57%"
"Nov 10, 2008","2,438.10","2,351.00","2,445.50","2,347.85","482.44M","5.44%"
"Nov 07, 2008","2,312.25","2,253.30","2,332.05","2,245.95","465.63M","2.45%"
"Nov 06, 2008","2,257.05","2,261.80","2,331.05","2,228.75","532.98M","-3.12%"
"Nov 05, 2008","2,329.85","2,489.70","2,490.35","2,314.65","627.28M","-3.77%"
